# Date	2015-11-28-18:30
# Type	Delay Scan
# Ov	98 mV
# IR	-98 mV
# Bot	-40 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15932.6 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
36	72600	0.23151	0.00559459	0.0458477	-0.0131591	
37	72400	0.233122	0.00559459	0.0461766	-0.0131591	
38	72200	0.206946	0.00559459	0.0515695	-0.0131591	
39	72000	0.211418	0.00559459	0.0504515	-0.0131591	
40	71800	0.211846	0.00559459	0.0477879	-0.0131591	
41	71600	0.215693	0.00559459	0.0603167	-0.0131591	
42	71400	0.217699	0.00559459	0.0595603	-0.0131591	
43	71200	0.23299	0.00559459	0.0564364	-0.0131591	
44	71000	0.22888	0.00559459	0.0495636	-0.0131591	
45	70800	0.231609	0.00559459	0.0571269	-0.0131591	
46	70600	0.239468	0.00559459	0.0532137	-0.0131591	
47	70400	0.211352	0.00559459	0.0540687	-0.0131591	
48	70200	0.220428	0.00559459	0.0611716	-0.0131591	
49	70000	0.211813	0.00559459	0.0530493	-0.0131591	
50	69800	0.190504	0.00559459	0.0562391	-0.0131591	
51	69600	0.219541	0.00559459	0.049728	-0.0131591	
52	69400	0.225427	0.00559459	0.049169	-0.0131591	
53	69200	0.21885	0.00559459	0.054003	-0.0131591	
54	69000	0.228945	0.00559459	0.0591328	-0.0131591	
55	68800	0.227137	0.00559459	0.0622897	-0.0131591	
56	68600	0.230721	0.00559459	0.0543976	-0.0131591	
57	68400	0.262092	0.00559459	0.0671894	-0.0131591	
58	68200	0.243513	0.00559459	0.0587053	-0.0131591	
59	68000	0.24177	0.00559459	0.0660385	-0.0131591	
60	67800	0.240948	0.00559459	0.0562062	-0.0131591	
61	67600	0.248709	0.00559459	0.058245	-0.0131591	
62	67400	0.214148	0.00559459	0.0606126	-0.0131591	
63	67200	0.239304	0.00559459	0.0599221	-0.0131591	
64	67000	0.240192	0.00559459	0.0680773	-0.0131591	
65	66800	0.251471	0.00559459	0.0646573	-0.0131591	
66	66600	0.245091	0.00559459	0.0593301	-0.0131591	
67	66400	0.267025	0.00559459	0.061632	-0.0131591	
68	66200	0.246144	0.00559459	0.0533782	-0.0131591	
69	66000	0.247722	0.00559459	0.0625199	-0.0131591	
70	65800	0.24667	0.00559459	0.0588369	-0.0131591	
71	65600	0.249136	0.00559459	0.0496294	-0.0131591	
72	65400	0.230294	0.00559459	0.0610072	-0.0131591	
73	65200	0.232661	0.00559459	0.0530493	-0.0131591	
74	65000	0.229702	0.00559459	0.0563706	-0.0131591	
75	64800	0.213293	0.00559459	0.0593301	-0.0131591	
76	64600	0.23766	0.00559459	0.0709053	-0.0131591	
77	64400	0.223256	0.00559459	0.0580148	-0.0131591	
78	64200	0.244335	0.00559459	0.0562391	-0.0131591	
79	64000	0.231642	0.00559459	0.064756	-0.0131591	
80	63800	0.235128	0.00559459	0.0600207	-0.0131591	
81	63600	0.238811	0.00559459	0.0510763	-0.0131591	
82	63400	0.213589	0.00559459	0.0576859	-0.0131591	
83	63200	0.236344	0.00559459	0.0607113	-0.0131591	
84	63000	0.232891	0.00559459	0.0580477	-0.0131591	
85	62800	0.223783	0.00559459	0.0680773	-0.0131591	
86	62600	0.225591	0.00559459	0.0634077	-0.0131591	
87	62400	0.24519	0.00559459	0.0570283	-0.0131591	
88	62200	0.233385	0.00559459	0.0613689	-0.0131591	
89	62000	0.246275	0.00559459	0.0696557	-0.0131591	
90	61800	0.223191	0.00559459	0.0623883	-0.0131591	
91	61600	0.21714	0.00559459	0.0554827	-0.0131591	
92	61400	0.229866	0.00559459	0.0591	-0.0131591	
93	61200	0.237002	0.00559459	0.0569954	-0.0131591	
94	61000	0.210793	0.00559459	0.0568639	-0.0131591	
95	60800	0.247558	0.00559459	0.0562062	-0.0131591	
96	60600	0.247623	0.00559459	0.0565679	-0.0131591	
97	60400	0.233845	0.00559459	0.0617635	-0.0131591	
98	60200	0.248709	0.00559459	0.0701818	-0.0131591	
99	60000	0.241474	0.00559459	0.067288	-0.0131591	
100	59800	0.227005	0.00559459	0.0617307	-0.0131591	
101	59600	0.242822	0.00559459	0.0672223	-0.0131591	
102	59400	0.233779	0.00559459	0.0673867	-0.0131591	
103	59200	0.248347	0.00559459	0.0666632	-0.0131591	
104	59000	0.22934	0.00559459	0.0578504	-0.0131591	
105	58800	0.233878	0.00559459	0.0539043	-0.0131591	
106	58600	0.21566	0.00559459	0.0529178	-0.0131591	
107	58400	0.193858	0.00559459	0.0608428	-0.0131591	
108	58200	0.226874	0.00559459	0.0588369	-0.0131591	
109	58000	0.236048	0.00559459	0.0566008	-0.0131591	
110	57800	0.222895	0.00559459	0.0680444	-0.0131591	
111	57600	0.227466	0.00559459	0.0643943	-0.0131591	
112	57400	0.251471	0.00559459	0.0606126	-0.0131591	
113	57200	0.232924	0.00559459	0.0630789	-0.0131591	
114	57000	0.234799	0.00559459	0.0675511	-0.0131591	
115	56800	0.230951	0.00559459	0.0509119	-0.0131591	
116	56600	0.236542	0.00559459	0.0595603	-0.0131591	
117	56400	0.234108	0.00559459	0.0674196	-0.0131591	
118	56200	0.213457	0.00559459	0.0627172	-0.0131591	
119	56000	0.195963	0.00559459	0.0634077	-0.0131591	
120	55800	0.22421	0.00559459	0.0625856	-0.0131591	
121	55600	0.240948	0.00559459	0.0655123	-0.0131591	
122	55400	0.250616	0.00559459	0.059659	-0.0131591	
123	55200	0.249728	0.00559459	0.0620595	-0.0131591	
124	55000	0.233319	0.00559459	0.0644271	-0.0131591	
125	54800	0.240192	0.00559459	0.0733387	-0.0131591	
126	54600	0.233779	0.00559459	0.0656438	-0.0131591	
127	54400	0.234864	0.00559459	0.0603495	-0.0131591	
128	54200	0.236607	0.00559459	0.0627501	-0.0131591	
129	54000	0.233286	0.00559459	0.0625199	-0.0131591	
130	53800	0.242888	0.00559459	0.0724508	-0.0131591	
131	53600	0.236706	0.00559459	0.0697214	-0.0131591	
132	53400	0.234042	0.00559459	0.0679786	-0.0131591	
133	53200	0.259758	0.00559459	0.0730756	-0.0131591	
134	53000	0.240816	0.00559459	0.0649533	-0.0131591	
135	52800	0.229504	0.00559459	0.0580806	-0.0131591	
136	52600	0.238745	0.00559459	0.0633091	-0.0131591	
137	52400	0.246012	0.00559459	0.0752131	-0.0131591	
138	52200	0.250123	0.00559459	0.0744238	-0.0131591	
139	52000	0.236706	0.00559459	0.0682088	-0.0131591	
140	51800	0.245354	0.00559459	0.0690967	-0.0131591	
141	51600	0.220955	0.00559459	0.0651506	-0.0131591	
142	51400	0.244434	0.00559459	0.062487	-0.0131591	
143	51200	0.224276	0.00559459	0.0566994	-0.0131591	
144	51000	0.236213	0.00559459	0.0636708	-0.0131591	
145	50800	0.233681	0.00559459	0.0580806	-0.0131591	
146	50600	0.232135	0.00559459	0.0631776	-0.0131591	
147	50400	0.223322	0.00559459	0.0698201	-0.0131591	
148	50200	0.232924	0.00559459	0.0581792	-0.0131591	
149	50000	0.232431	0.00559459	0.0764626	-0.0131591	
150	49800	0.22717	0.00559459	0.0537399	-0.0131591	
151	49600	0.227696	0.00559459	0.0602838	-0.0131591	
152	49400	0.207801	0.00559459	0.0523259	-0.0131591	
153	49200	0.226874	0.00559459	0.0524574	-0.0131591	
154	49000	0.229767	0.00559459	0.0690309	-0.0131591	
155	48800	0.224736	0.00559459	0.0599549	-0.0131591	
156	48600	0.241047	0.00559459	0.0555156	-0.0131591	
157	48400	0.232595	0.00559459	0.0783699	-0.0131591	
158	48200	0.238252	0.00559459	0.0688665	-0.0131591	
159	48000	0.220757	0.00559459	0.059363	-0.0131591	
160	47800	0.229636	0.00559459	0.0597576	-0.0131591	
161	47600	0.241704	0.00559459	0.0671894	-0.0131591	
162	47400	0.231905	0.00559459	0.0624212	-0.0131591	
163	47200	0.231214	0.00559459	0.0595603	-0.0131591	
164	47000	0.228058	0.00559459	0.0612374	-0.0131591	
165	46800	0.247722	0.00559459	0.0578175	-0.0131591	
166	46600	0.240389	0.00559459	0.0618622	-0.0131591	
167	46400	0.227203	0.00559459	0.0702805	-0.0131591	
168	46200	0.217962	0.00559459	0.0600207	-0.0131591	
169	46000	0.239205	0.00559459	0.0606126	-0.0131591	
170	45800	0.217798	0.00559459	0.0645587	-0.0131591	
171	45600	0.240816	0.00559459	0.0634735	-0.0131591	
172	45400	0.229866	0.00559459	0.0690638	-0.0131591	
173	45200	0.237758	0.00559459	0.066729	-0.0131591	
174	45000	0.229833	0.00559459	0.0619609	-0.0131591	
175	44800	0.234141	0.00559459	0.0553841	-0.0131591	
176	44600	0.247591	0.00559459	0.0630789	-0.0131591	
177	44400	0.245157	0.00559459	0.0599549	-0.0131591	
178	44200	0.235588	0.00559459	0.0712341	-0.0131591	
179	44000	0.25545	0.00559459	0.0647889	-0.0131591	
180	43800	0.251306	0.00559459	0.0694255	-0.0131591	
181	43600	0.233155	0.00559459	0.0602509	-0.0131591	
182	43400	0.233549	0.00559459	0.0656438	-0.0131591	
183	43200	0.24029	0.00559459	0.0654137	-0.0131591	
184	43000	0.242987	0.00559459	0.068998	-0.0131591	
185	42800	0.244565	0.00559459	0.0706751	-0.0131591	
186	42600	0.240652	0.00559459	0.0697543	-0.0131591	
187	42400	0.241014	0.00559459	0.061928	-0.0131591	
188	42200	0.243776	0.00559459	0.0694255	-0.0131591	
189	42000	0.257817	0.00559459	0.0643285	-0.0131591	
190	41800	0.240389	0.00559459	0.0654465	-0.0131591	
191	41600	0.243579	0.00559459	0.0689651	-0.0131591	
192	41400	0.249662	0.00559459	0.0645258	-0.0131591	
193	41200	0.238712	0.00559459	0.0590013	-0.0131591	
194	41000	0.241935	0.00559459	0.0731414	-0.0131591	
195	40800	0.233911	0.00559459	0.0537728	-0.0131591	
196	40600	0.25078	0.00559459	0.0568967	-0.0131591	
197	40400	0.242987	0.00559459	0.0674525	-0.0131591	
198	40200	0.247393	0.00559459	0.063342	-0.0131591	
199	40000	0.264361	0.00559459	0.0591	-0.0131591	
200	39800	0.254792	0.00559459	0.0579161	-0.0131591	
201	39600	0.23128	0.00559459	0.0623226	-0.0131591	
202	39400	0.243645	0.00559459	0.0561075	-0.0131591	
203	39200	0.239863	0.00559459	0.0657425	-0.0131591	
204	39000	0.24815	0.00559459	0.067584	-0.0131591	
205	38800	0.257456	0.00559459	0.0643614	-0.0131591	
206	38600	0.25078	0.00559459	0.0632433	-0.0131591	
207	38400	0.24108	0.00559459	0.0644271	-0.0131591	
208	38200	0.247821	0.00559459	0.0728125	-0.0131591	
209	38000	0.254332	0.00559459	0.075805	-0.0131591	
210	37800	0.263737	0.00559459	0.0655123	-0.0131591	
211	37600	0.244828	0.00559459	0.0722206	-0.0131591	
212	37400	0.255746	0.00559459	0.0590671	-0.0131591	
213	37200	0.259988	0.00559459	0.0696886	-0.0131591	
214	37000	0.242757	0.00559459	0.0612703	-0.0131591	
215	36800	0.255516	0.00559459	0.0682417	-0.0131591	
216	36600	0.234207	0.00559459	0.0643614	-0.0131591	
217	36400	0.252063	0.00559459	0.0725166	-0.0131591	
218	36200	0.255154	0.00559459	0.0656767	-0.0131591	
219	36000	0.250123	0.00559459	0.0595274	-0.0131591	
220	35800	0.237331	0.00559459	0.0665975	-0.0131591	
221	35600	0.254266	0.00559459	0.0677813	-0.0131591	
222	35400	0.239666	0.00559459	0.0704449	-0.0131591	
223	35200	0.234207	0.00559459	0.0765613	-0.0131591	
224	35000	0.251339	0.00559459	0.0736017	-0.0131591	
225	34800	0.262355	0.00559459	0.0676826	-0.0131591	
226	34600	0.249662	0.00559459	0.0720891	-0.0131591	
227	34400	0.254299	0.00559459	0.0700503	-0.0131591	
228	34200	0.247623	0.00559459	0.0776794	-0.0131591	
229	34000	0.248906	0.00559459	0.0646902	-0.0131591	
230	33800	0.240981	0.00559459	0.0650191	-0.0131591	
231	33600	0.246275	0.00559459	0.0531151	-0.0131591	
232	33400	0.255187	0.00559459	0.0618951	-0.0131591	
233	33200	0.245322	0.00559459	0.0688994	-0.0131591	
234	33000	0.256502	0.00559459	0.0638352	-0.0131591	
235	32800	0.265644	0.00559459	0.061632	-0.0131591	
236	32600	0.26423	0.00559459	0.0697872	-0.0131591	
237	32400	0.261665	0.00559459	0.0674525	-0.0131591	
238	32200	0.261106	0.00559459	0.0560418	-0.0131591	
239	32000	0.253411	0.00559459	0.0686692	-0.0131591	
240	31800	0.252951	0.00559459	0.0640983	-0.0131591	
241	31600	0.258771	0.00559459	0.0703134	-0.0131591	
242	31400	0.25397	0.00559459	0.0686692	-0.0131591	
243	31200	0.272714	0.00559459	0.0675182	-0.0131591	
244	31000	0.278436	0.00559459	0.0710039	-0.0131591	
245	30800	0.259659	0.00559459	0.0687349	-0.0131591	
246	30600	0.256436	0.00559459	0.0722535	-0.0131591	
247	30400	0.272286	0.00559459	0.0692282	-0.0131591	
248	30200	0.281264	0.00559459	0.0733716	-0.0131591	
249	30000	0.279324	0.00559459	0.0738977	-0.0131591	
250	29800	0.24713	0.00559459	0.0731085	-0.0131591	
251	29600	0.263539	0.00559459	0.0666632	-0.0131591	
252	29400	0.24006	0.00559459	0.0727468	-0.0131591	
253	29200	0.27255	0.00559459	0.0551539	-0.0131591	
254	29000	0.249333	0.00559459	0.0717603	-0.0131591	
255	28800	0.26104	0.00559459	0.0735031	-0.0131591	
256	28600	0.272484	0.00559459	0.0752131	-0.0131591	
257	28400	0.266729	0.00559459	0.0690638	-0.0131591	
258	28200	0.261435	0.00559459	0.0757063	-0.0131591	
259	28000	0.2469	0.00559459	0.0774492	-0.0131591	
260	27800	0.27153	0.00559459	0.067288	-0.0131591	
261	27600	0.263276	0.00559459	0.0591	-0.0131591	
262	27400	0.267716	0.00559459	0.0683074	-0.0131591	
263	27200	0.254332	0.00559459	0.0588698	-0.0131591	
264	27000	0.260876	0.00559459	0.0625856	-0.0131591	
265	26800	0.258837	0.00559459	0.0720562	-0.0131591	
266	26600	0.24302	0.00559459	0.0643943	-0.0131591	
267	26400	0.267946	0.00559459	0.0730756	-0.0131591	
268	26200	0.266861	0.00559459	0.0639668	-0.0131591	
269	26000	0.257489	0.00559459	0.0736346	-0.0131591	
270	25800	0.265775	0.00559459	0.0720891	-0.0131591	
271	25600	0.243381	0.00559459	0.0643943	-0.0131591	
272	25400	0.266367	0.00559459	0.068143	-0.0131591	
273	25200	0.242691	0.00559459	0.0748185	-0.0131591	
274	25000	0.2469	0.00559459	0.0673538	-0.0131591	
275	24800	0.249958	0.00559459	0.0651177	-0.0131591	
276	24600	0.246801	0.00559459	0.0651506	-0.0131591	
277	24400	0.262125	0.00559459	0.0682417	-0.0131591	
278	24200	0.242165	0.00559459	0.068998	-0.0131591	
279	24000	0.256601	0.00559459	0.0685047	-0.0131591	
280	23800	0.261106	0.00559459	0.0668606	-0.0131591	
281	23600	0.237166	0.00559459	0.069557	-0.0131591	
282	23400	0.244499	0.00559459	0.0610401	-0.0131591	
283	23200	0.259067	0.00559459	0.0714972	-0.0131591	
284	23000	0.246768	0.00559459	0.0601851	-0.0131591	
285	22800	0.248676	0.00559459	0.0584094	-0.0131591	
286	22600	0.231905	0.00559459	0.0670579	-0.0131591	
287	22400	0.262717	0.00559459	0.0660385	-0.0131591	
288	22200	0.239567	0.00559459	0.0643943	-0.0131591	
289	22000	0.248215	0.00559459	0.0602509	-0.0131591	
290	21800	0.247295	0.00559459	0.0580477	-0.0131591	
291	21600	0.263408	0.00559459	0.0722864	-0.0131591	
292	21400	0.229307	0.00559459	0.0752459	-0.0131591	
293	21200	0.256173	0.00559459	0.0736675	-0.0131591	
294	21000	0.256009	0.00559459	0.0733058	-0.0131591	
295	20800	0.225821	0.00559459	0.0582121	-0.0131591	
296	20600	0.247328	0.00559459	0.0699188	-0.0131591	
297	20400	0.252951	0.00559459	0.070971	-0.0131591	
298	20200	0.244105	0.00559459	0.0671236	-0.0131591	
299	20000	0.241376	0.00559459	0.0708395	-0.0131591	
300	19800	0.242526	0.00559459	0.0715958	-0.0131591	
301	19600	0.236015	0.00559459	0.0661042	-0.0131591	
302	19400	0.240126	0.00559459	0.0659727	-0.0131591	
303	19200	0.242855	0.00559459	0.0699516	-0.0131591	
304	19000	0.238909	0.00559459	0.0697214	-0.0131591	
305	18800	0.221283	0.00559459	0.0628816	-0.0131591	
306	18600	0.237528	0.00559459	0.0634406	-0.0131591	
307	18400	0.258245	0.00559459	0.0710368	-0.0131591	
308	18200	0.231806	0.00559459	0.0625528	-0.0131591	
309	18000	0.22375	0.00559459	0.0765942	-0.0131591	
310	17800	0.241639	0.00559459	0.067025	-0.0131591	
311	17600	0.253082	0.00559459	0.0615005	-0.0131591	
312	17400	0.25055	0.00559459	0.0624212	-0.0131591	
313	17200	0.260646	0.00559459	0.061073	-0.0131591	
314	17000	0.237298	0.00559459	0.0734044	-0.0131591	
315	16800	0.244532	0.00559459	0.0662358	-0.0131591	
316	16600	0.232102	0.00559459	0.0680444	-0.0131591	
317	16400	0.239797	0.00559459	0.0657754	-0.0131591	
318	16200	0.260284	0.00559459	0.0648218	-0.0131591	
319	16000	0.238811	0.00559459	0.0617307	-0.0131591	
320	15800	0.239764	0.00559459	0.0768573	-0.0131591	
321	15600	0.227729	0.00559459	0.0611716	-0.0131591	
322	15400	0.254299	0.00559459	0.0719247	-0.0131591	
323	15200	0.248742	0.00559459	0.0664331	-0.0131591	
324	15000	0.255877	0.00559459	0.072681	-0.0131591	
325	14800	0.253312	0.00559459	0.067584	-0.0131591	
326	14600	0.25785	0.00559459	0.0683074	-0.0131591	
327	14400	0.233911	0.00559459	0.0734044	-0.0131591	
328	14200	0.24473	0.00559459	0.0643614	-0.0131591	
329	14000	0.234305	0.00559459	0.0612374	-0.0131591	
330	13800	0.251767	0.00559459	0.0657425	-0.0131591	
331	13600	0.248939	0.00559459	0.0676498	-0.0131591	
332	13400	0.250484	0.00559459	0.069853	-0.0131591	
333	13200	0.259527	0.00559459	0.0721877	-0.0131591	
334	13000	0.243381	0.00559459	0.0563706	-0.0131591	
335	12800	0.238843	0.00559459	0.0690309	-0.0131591	
336	12600	0.243743	0.00559459	0.0613032	-0.0131591	
337	12400	0.23424	0.00559459	0.0706751	-0.0131591	
338	12200	0.234536	0.00559459	0.061928	-0.0131591	
339	12000	0.238613	0.00559459	0.0567323	-0.0131591	
340	11800	0.233286	0.00559459	0.0586396	-0.0131591	
341	11600	0.246012	0.00559459	0.0615662	-0.0131591	
342	11400	0.223618	0.00559459	0.0684061	-0.0131591	
343	11200	0.2396	0.00559459	0.0594617	-0.0131591	
344	11000	0.224703	0.00559459	0.0597576	-0.0131591	
345	10800	0.236048	0.00559459	0.0677484	-0.0131591	
346	10600	0.232234	0.00559459	0.0637366	-0.0131591	
347	10400	0.233483	0.00559459	0.0690967	-0.0131591	
348	10200	0.257883	0.00559459	0.0661042	-0.0131591	
349	10000	0.222533	0.00559459	0.0717274	-0.0131591	
350	9800	0.216417	0.00559459	0.0684719	-0.0131591	
351	9600	0.241671	0.00559459	0.0536741	-0.0131591	
352	9400	0.225493	0.00559459	0.0597905	-0.0131591	
353	9200	0.23128	0.00559459	0.069557	-0.0131591	
354	9000	0.227466	0.00559459	0.0585409	-0.0131591	
355	8800	0.22467	0.00559459	0.0588698	-0.0131591	
356	8600	0.22592	0.00559459	0.0589684	-0.0131591	
357	8400	0.229011	0.00559459	0.0621253	-0.0131591	
358	8200	0.238942	0.00559459	0.0662686	-0.0131591	
359	8000	0.258245	0.00559459	0.063046	-0.0131591	
360	7800	0.244763	0.00559459	0.0667948	-0.0131591	
361	7600	0.227992	0.00559459	0.062487	-0.0131591	
362	7400	0.230721	0.00559459	0.0587053	-0.0131591	
363	7200	0.208097	0.00559459	0.0626514	-0.0131591	
364	7000	0.20859	0.00559459	0.0627172	-0.0131591	
365	6800	0.23618	0.00559459	0.063901	-0.0131591	
366	6600	0.224736	0.00559459	0.0550224	-0.0131591	
367	6400	0.228353	0.00559459	0.0629803	-0.0131591	
368	6200	0.219014	0.00559459	0.0652821	-0.0131591	
369	6000	0.244993	0.00559459	0.0641641	-0.0131591	
370	5800	0.239139	0.00559459	0.058804	-0.0131591	
371	5600	0.234371	0.00559459	0.0681101	-0.0131591	
372	5400	0.236739	0.00559459	0.0614347	-0.0131591	
373	5200	0.235325	0.00559459	0.0509448	-0.0131591	
