# Date	2015-11-28-17:25
# Type	Delay Scan
# Bot	-200 mV
# Ov	0 mV
# IR	0 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15933.0 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
167	33600	0.224901	0.00331245	0.0381529	-0.0162436	
168	33800	0.218094	0.00331245	0.0379227	-0.0162436	
169	34000	0.223454	0.00331245	0.0246705	-0.0162436	
170	34200	0.224177	0.00331245	0.0296031	-0.0162436	
171	34400	0.211221	0.00331245	0.0317734	-0.0162436	
172	34600	0.230327	0.00331245	0.0362785	-0.0162436	
173	34800	0.242954	0.00331245	0.0365087	-0.0162436	
174	35000	0.231083	0.00331245	0.0295373	-0.0162436	
175	35200	0.235259	0.00331245	0.0390408	-0.0162436	
176	35400	0.23059	0.00331245	0.0464397	-0.0162436	
177	35600	0.230261	0.00331245	0.0435459	-0.0162436	
178	35800	0.219639	0.00331245	0.0376597	-0.0162436	
179	36000	0.226183	0.00331245	0.040389	-0.0162436	
180	36200	0.241639	0.00331245	0.0420003	-0.0162436	
181	36400	0.22056	0.00331245	0.0387119	-0.0162436	
182	36600	0.235687	0.00331245	0.0362128	-0.0162436	
183	36800	0.214016	0.00331245	0.0398958	-0.0162436	
184	37000	0.237693	0.00331245	0.0359497	-0.0162436	
185	37200	0.250057	0.00331245	0.0420003	-0.0162436	
186	37400	0.241408	0.00331245	0.0515695	-0.0162436	
187	37600	0.245322	0.00331245	0.0369691	-0.0162436	
188	37800	0.230688	0.00331245	0.0374624	-0.0162436	
189	38000	0.229472	0.00331245	0.0420332	-0.0162436	
190	38200	0.220757	0.00331245	0.0413427	-0.0162436	
191	38400	0.238745	0.00331245	0.0434143	-0.0162436	
192	38600	0.234437	0.00331245	0.0417044	-0.0162436	
193	38800	0.230655	0.00331245	0.0387119	-0.0162436	
194	39000	0.242658	0.00331245	0.0444666	-0.0162436	
195	39200	0.250123	0.00331245	0.0351276	-0.0162436	
196	39400	0.226019	0.00331245	0.0443351	-0.0162436	
197	39600	0.244236	0.00331245	0.0386133	-0.0162436	
198	39800	0.232365	0.00331245	0.0397642	-0.0162436	
199	40000	0.219409	0.00331245	0.0433815	-0.0162436	
200	40200	0.226841	0.00331245	0.0412769	-0.0162436	
201	40400	0.231971	0.00331245	0.0417701	-0.0162436	
202	40600	0.23059	0.00331245	0.0407836	-0.0162436	
203	40800	0.215035	0.00331245	0.0501555	-0.0162436	
204	41000	0.226216	0.00331245	0.0419675	-0.0162436	
205	41200	0.231905	0.00331245	0.0457162	-0.0162436	
206	41400	0.230787	0.00331245	0.0427567	-0.0162436	
207	41600	0.236739	0.00331245	0.0536083	-0.0162436	
208	41800	0.237101	0.00331245	0.0418359	-0.0162436	
209	42000	0.240257	0.00331245	0.0499254	-0.0162436	
210	42200	0.22638	0.00331245	0.0507474	-0.0162436	
211	42400	0.229472	0.00331245	0.0352591	-0.0162436	
212	42600	0.235818	0.00331245	0.0450914	-0.0162436	
213	42800	0.232727	0.00331245	0.0520299	-0.0162436	
214	43000	0.220396	0.00331245	0.050024	-0.0162436	
215	43200	0.216121	0.00331245	0.040126	-0.0162436	
