	Filename	DL-Pro	DL-100	Static	MWOn	MWf	Attn	y0	a	phi
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.28806526391496107	0.023459748517160067	1.5274125955649396
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.30882516795250325	0.03842561889403301	2.6959804296117085
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.07869642066888524	0.01762024658057974	0.7058654219283196
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.08211946444940177	0.021901907489992968	2.529040410839689
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.21084857693021744	0.028740161345202075	2.4620084773936886
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.2092015684433177	0.022629417115740486	2.719640929185128
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.23798503335402732	0.017322062878583414	0.6320910826962973
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.26585240242996533	0.0197631150586825	1.2564852477806974
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.12322660001389203	0.020957674664704898	1.2249385090570124
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.1360060035530542	0.01666543061743428	0.9883379686293897
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.6098020280599353	0.03414223572983904	1.3511254639517467
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.6088690316966818	0.026393362361509853	0.5243696477467207
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.08239674827452992	0.015801600150007526	0.6807572660734795
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.09182977269421494	0.019611417775612087	2.096512049833275
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.5330557987991086	0.027396647513028227	1.23551734432125
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.5251166929072737	0.026814355087337205	1.1566504975120424
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.17182941144402028	0.020948920180961283	0.4941689843146942
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.18111158960980656	0.01998783254094473	2.063619235817934
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.547170820756778	0.025636344499465558	1.043544761395835
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.5574552403249009	0.025122590527675737	1.1172170741074379
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.35790343598051366	0.026292904140999218	0.8082902962598699
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.34321136954404136	0.028912184824553266	0.9029305124309197
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.5062835299297801	0.023630076441050862	0.3666359541283043
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.5016785717027419	0.02386810242258383	1.1289522175943072
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.29691075860119787	0.01787294100982889	1.0922109447730188
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.28621504484137583	0.022596330449453694	1.3617042992159838
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.41449483360501693	0.02924833419045328	0.8398370349835526
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.41310387302283874	0.022965196206906402	0.8463776443728148
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.32303473092776397	0.023436904756293953	1.943972890312464
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.31835615084461755	0.03012357941179397	1.0647024319243077
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.08023275279643523	0.015000687798614	2.2003850259769027
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.06160443108644239	0.012687132999674774	0.13657602308994374
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.03348344707146867	0.010604247705808437	0.02885458814036814
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.02680073598860428	0.011633077356962299	0.5401430171085624
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.4395502772499363	0.03154977542808712	1.3997916473289282
