# Date	2015-11-30-02:00
# Type	Delay Scan
# Ov	98 mV
# IR	-98 mV
# Bot	40 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15932.0 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
166	33400	0.292806	0.00696256	0.0901752	-0.0142015	
167	33600	0.288104	0.00696256	0.0927731	-0.0142015	
168	33800	0.284322	0.00696256	0.090241	-0.0142015	
169	34000	0.257127	0.00696256	0.0880378	-0.0142015	
170	34200	0.29787	0.00696256	0.0920825	-0.0142015	
171	34400	0.281823	0.00696256	0.0796524	-0.0142015	
172	34600	0.287972	0.00696256	0.0870841	-0.0142015	
173	34800	0.270609	0.00696256	0.087413	-0.0142015	
174	35000	0.287643	0.00696256	0.0901095	-0.0142015	
175	35200	0.273141	0.00696256	0.085703	-0.0142015	
176	35400	0.293727	0.00696256	0.097311	-0.0142015	
177	35600	0.292247	0.00696256	0.0858674	-0.0142015	
178	35800	0.297311	0.00696256	0.0828421	-0.0142015	
179	36000	0.290866	0.00696256	0.0910302	-0.0142015	
180	36200	0.285243	0.00696256	0.0824804	-0.0142015	
181	36400	0.289814	0.00696256	0.0940555	-0.0142015	
182	36600	0.283105	0.00696256	0.0932334	-0.0142015	
183	36800	0.292115	0.00696256	0.0999089	-0.0142015	
184	37000	0.286986	0.00696256	0.0883337	-0.0142015	
185	37200	0.275345	0.00696256	0.0864265	-0.0142015	
186	37400	0.29376	0.00696256	0.0988895	-0.0142015	
187	37600	0.273898	0.00696256	0.0882351	-0.0142015	
188	37800	0.280442	0.00696256	0.0908658	-0.0142015	
189	38000	0.288432	0.00696256	0.0915235	-0.0142015	
190	38200	0.298396	0.00696256	0.0873472	-0.0142015	
191	38400	0.280047	0.00696256	0.0807047	-0.0142015	
192	38600	0.284388	0.00696256	0.0894518	-0.0142015	
193	38800	0.291096	0.00696256	0.0866238	-0.0142015	
194	39000	0.305203	0.00696256	0.0839273	-0.0142015	
195	39200	0.28692	0.00696256	0.0909316	-0.0142015	
196	39400	0.299449	0.00696256	0.0817898	-0.0142015	
197	39600	0.304546	0.00696256	0.0914248	-0.0142015	
198	39800	0.292444	0.00696256	0.0854399	-0.0142015	
199	40000	0.306025	0.00696256	0.0858346	-0.0142015	
200	40200	0.288827	0.00696256	0.0853084	-0.0142015	
201	40400	0.291425	0.00696256	0.0825791	-0.0142015	
202	40600	0.293628	0.00696256	0.0879391	-0.0142015	
203	40800	0.276463	0.00696256	0.079488	-0.0142015	
204	41000	0.286032	0.00696256	0.0866895	-0.0142015	
205	41200	0.29547	0.00696256	0.0853413	-0.0142015	
206	41400	0.289583	0.00696256	0.0876432	-0.0142015	
207	41600	0.284322	0.00696256	0.0879391	-0.0142015	
208	41800	0.295634	0.00696256	0.0793564	-0.0142015	
209	42000	0.290636	0.00696256	0.100238	-0.0142015	
210	42200	0.301487	0.00696256	0.078633	-0.0142015	
211	42400	0.287906	0.00696256	0.0864593	-0.0142015	
212	42600	0.268176	0.00696256	0.0854071	-0.0142015	
213	42800	0.264394	0.00696256	0.092214	-0.0142015	
214	43000	0.274983	0.00696256	0.0918523	-0.0142015	
215	43200	0.295601	0.00696256	0.0840917	-0.0142015	
216	43400	0.27791	0.00696256	0.083171	-0.0142015	
217	43600	0.27199	0.00696256	0.0905041	-0.0142015	
218	43800	0.268406	0.00696256	0.0921811	-0.0142015	
219	44000	0.293595	0.00696256	0.0878734	-0.0142015	
220	44200	0.29182	0.00696256	0.0860976	-0.0142015	
221	44400	0.28544	0.00696256	0.0999417	-0.0142015	
222	44600	0.28932	0.00696256	0.0924442	-0.0142015	
223	44800	0.283072	0.00696256	0.0878405	-0.0142015	
224	45000	0.294056	0.00696256	0.0979029	-0.0142015	
225	45200	0.289386	0.00696256	0.0816254	-0.0142015	
226	45400	0.275575	0.00696256	0.084289	-0.0142015	
227	45600	0.284256	0.00696256	0.0759694	-0.0142015	
228	45800	0.292181	0.00696256	0.0905698	-0.0142015	
229	46000	0.282678	0.00696256	0.0958641	-0.0142015	
230	46200	0.287643	0.00696256	0.0882022	-0.0142015	
231	46400	0.293858	0.00696256	0.104644	-0.0142015	
232	46600	0.280771	0.00696256	0.100731	-0.0142015	
233	46800	0.285177	0.00696256	0.0889256	-0.0142015	
234	47000	0.283401	0.00696256	0.100961	-0.0142015	
235	47200	0.285407	0.00696256	0.0963574	-0.0142015	
236	47400	0.322204	0.00696256	0.0944501	-0.0142015	
237	47600	0.290997	0.00696256	0.0926415	-0.0142015	
238	47800	0.305532	0.00696256	0.0881035	-0.0142015	
239	48000	0.305401	0.00696256	0.082875	-0.0142015	
240	48200	0.292806	0.00696256	0.0958641	-0.0142015	
241	48400	0.297476	0.00696256	0.0908658	-0.0142015	
242	48600	0.291195	0.00696256	0.0881693	-0.0142015	
243	48800	0.295141	0.00696256	0.0944501	-0.0142015	
244	49000	0.299679	0.00696256	0.0941213	-0.0142015	
245	49200	0.292247	0.00696256	0.0974426	-0.0142015	
246	49400	0.279061	0.00696256	0.0931677	-0.0142015	
247	49600	0.300994	0.00696256	0.0963903	-0.0142015	
248	49800	0.308327	0.00696256	0.100303	-0.0142015	
249	50000	0.301553	0.00696256	0.0914577	-0.0142015	
250	50200	0.304085	0.00696256	0.09251	-0.0142015	
251	50400	0.288992	0.00696256	0.0971137	-0.0142015	
252	50600	0.308886	0.00696256	0.0972124	-0.0142015	
253	50800	0.306025	0.00696256	0.094483	-0.0142015	
254	51000	0.291392	0.00696256	0.102671	-0.0142015	
255	51200	0.314378	0.00696256	0.112602	-0.0142015	
256	51400	0.293497	0.00696256	0.0971137	-0.0142015	
257	51600	0.28738	0.00696256	0.0904383	-0.0142015	
258	51800	0.295897	0.00696256	0.0981989	-0.0142015	
259	52000	0.317995	0.00696256	0.0981989	-0.0142015	
260	52200	0.305236	0.00696256	0.0941542	-0.0142015	
261	52400	0.307078	0.00696256	0.107242	-0.0142015	
262	52600	0.312668	0.00696256	0.0873143	-0.0142015	
263	52800	0.287906	0.00696256	0.0994814	-0.0142015	
264	53000	0.291228	0.00696256	0.0980345	-0.0142015	
265	53200	0.299712	0.00696256	0.0965547	-0.0142015	
266	53400	0.299712	0.00696256	0.110826	-0.0142015	
267	53600	0.299646	0.00696256	0.100994	-0.0142015	
268	53800	0.291951	0.00696256	0.103329	-0.0142015	
269	54000	0.288728	0.00696256	0.0943515	-0.0142015	
270	54200	0.295272	0.00696256	0.100599	-0.0142015	
271	54400	0.277877	0.00696256	0.103197	-0.0142015	
272	54600	0.291293	0.00696256	0.0886955	-0.0142015	
273	54800	0.283631	0.00696256	0.106683	-0.0142015	
274	55000	0.299712	0.00696256	0.112635	-0.0142015	
275	55200	0.290142	0.00696256	0.0973439	-0.0142015	
276	55400	0.282579	0.00696256	0.0967849	-0.0142015	
277	55600	0.291787	0.00696256	0.0992512	-0.0142015	
278	55800	0.294417	0.00696256	0.0998431	-0.0142015	
279	56000	0.278041	0.00696256	0.100336	-0.0142015	
280	56200	0.271629	0.00696256	0.0923127	-0.0142015	
281	56400	0.296851	0.00696256	0.100106	-0.0142015	
282	56600	0.279554	0.00696256	0.0963903	-0.0142015	
283	56800	0.307966	0.00696256	0.101619	-0.0142015	
284	57000	0.283664	0.00696256	0.0981331	-0.0142015	
285	57200	0.281757	0.00696256	0.114805	-0.0142015	
286	57400	0.289814	0.00696256	0.104019	-0.0142015	
287	57600	0.291918	0.00696256	0.0950092	-0.0142015	
288	57800	0.285341	0.00696256	0.100402	-0.0142015	
289	58000	0.279784	0.00696256	0.0978372	-0.0142015	
290	58200	0.309708	0.00696256	0.100797	-0.0142015	
291	58400	0.285111	0.00696256	0.104414	-0.0142015	
292	58600	0.276824	0.00696256	0.114279	-0.0142015	
293	58800	0.273339	0.00696256	0.0988237	-0.0142015	
294	59000	0.29103	0.00696256	0.113917	-0.0142015	
295	59200	0.267321	0.00696256	0.105729	-0.0142015	
296	59400	0.29353	0.00696256	0.102836	-0.0142015	
297	59600	0.295272	0.00696256	0.0979029	-0.0142015	
298	59800	0.289057	0.00696256	0.100402	-0.0142015	
299	60000	0.28669	0.00696256	0.109675	-0.0142015	
300	60200	0.27643	0.00696256	0.109511	-0.0142015	
301	60400	0.287282	0.00696256	0.0905698	-0.0142015	
302	60600	0.29011	0.00696256	0.1054	-0.0142015	
303	60800	0.288235	0.00696256	0.114904	-0.0142015	
304	61000	0.302277	0.00696256	0.104184	-0.0142015	
305	61200	0.295404	0.00696256	0.107439	-0.0142015	
306	61400	0.298955	0.00696256	0.100271	-0.0142015	
307	61600	0.304118	0.00696256	0.100862	-0.0142015	
308	61800	0.311057	0.00696256	0.103362	-0.0142015	
309	62000	0.295042	0.00696256	0.10882	-0.0142015	
310	62200	0.292017	0.00696256	0.110169	-0.0142015	
311	62400	0.300994	0.00696256	0.0986264	-0.0142015	
312	62600	0.295831	0.00696256	0.0837629	-0.0142015	
313	62800	0.2884	0.00696256	0.114378	-0.0142015	
314	63000	0.305072	0.00696256	0.0938582	-0.0142015	
315	63200	0.303559	0.00696256	0.0986264	-0.0142015	
316	63400	0.304776	0.00696256	0.109182	-0.0142015	
317	63600	0.293628	0.00696256	0.114148	-0.0142015	
318	63800	0.290833	0.00696256	0.102704	-0.0142015	
319	64000	0.307012	0.00696256	0.101717	-0.0142015	
320	64200	0.291852	0.00696256	0.0998102	-0.0142015	
321	64400	0.28738	0.00696256	0.102079	-0.0142015	
322	64600	0.285177	0.00696256	0.102671	-0.0142015	
323	64800	0.291392	0.00696256	0.104282	-0.0142015	
324	65000	0.310004	0.00696256	0.108919	-0.0142015	
325	65200	0.292017	0.00696256	0.10448	-0.0142015	
326	65400	0.292379	0.00696256	0.110267	-0.0142015	
327	65600	0.287906	0.00696256	0.100271	-0.0142015	
328	65800	0.289945	0.00696256	0.10471	-0.0142015	
329	66000	0.283927	0.00696256	0.108952	-0.0142015	
330	66200	0.295864	0.00696256	0.114148	-0.0142015	
331	66400	0.287183	0.00696256	0.105335	-0.0142015	
332	66600	0.308064	0.00696256	0.102803	-0.0142015	
333	66800	0.29422	0.00696256	0.102244	-0.0142015	
334	67000	0.298659	0.00696256	0.102342	-0.0142015	
335	67200	0.2957	0.00696256	0.101191	-0.0142015	
336	67400	0.272385	0.00696256	0.107867	-0.0142015	
337	67600	0.286986	0.00696256	0.0952065	-0.0142015	
338	67800	0.306025	0.00696256	0.0953051	-0.0142015	
339	68000	0.299482	0.00696256	0.0976399	-0.0142015	
340	68200	0.30425	0.00696256	0.10129	-0.0142015	
341	68400	0.296358	0.00696256	0.1054	-0.0142015	
342	68600	0.299416	0.00696256	0.095897	-0.0142015	
343	68800	0.298035	0.00696256	0.0929046	-0.0142015	
344	69000	0.299021	0.00696256	0.0924113	-0.0142015	
345	69200	0.292181	0.00696256	0.102737	-0.0142015	
346	69400	0.303559	0.00696256	0.0946474	-0.0142015	
347	69600	0.28419	0.00696256	0.0902739	-0.0142015	
348	69800	0.303099	0.00696256	0.0852098	-0.0142015	
349	70000	0.310991	0.00696256	0.0941213	-0.0142015	
350	70200	0.306157	0.00696256	0.0884653	-0.0142015	
351	70400	0.312931	0.00696256	0.0884982	-0.0142015	
352	70600	0.309511	0.00696256	0.103427	-0.0142015	
353	70800	0.307012	0.00696256	0.0888928	-0.0142015	
354	71000	0.290438	0.00696256	0.100731	-0.0142015	
355	71200	0.291491	0.00696256	0.103822	-0.0142015	
356	71400	0.280738	0.00696256	0.0814281	-0.0142015	
357	71600	0.287709	0.00696256	0.0830394	-0.0142015	
358	71800	0.29353	0.00696256	0.093628	-0.0142015	
