# Date	2015-11-30-02:55
# Type	Delay Scan
# Ov	100 mV
# IR	-100 mV
# Bot	-40 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15932.0 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
38	72200	0.278633	0.00552554	0.0844205	-0.0137411	
39	72000	0.289057	0.00552554	0.0862292	-0.0137411	
40	71800	0.252951	0.00552554	0.0897149	-0.0137411	
41	71600	0.256699	0.00552554	0.0896491	-0.0137411	
42	71400	0.251865	0.00552554	0.0874788	-0.0137411	
43	71200	0.276627	0.00552554	0.0880707	-0.0137411	
44	71000	0.260613	0.00552554	0.0813952	-0.0137411	
45	70800	0.261665	0.00552554	0.0951736	-0.0137411	
46	70600	0.263309	0.00552554	0.0835985	-0.0137411	
47	70400	0.265874	0.00552554	0.0980674	-0.0137411	
48	70200	0.273372	0.00552554	0.0901423	-0.0137411	
49	70000	0.275049	0.00552554	0.0920825	-0.0137411	
50	69800	0.242625	0.00552554	0.0790605	-0.0137411	
51	69600	0.260185	0.00552554	0.084585	-0.0137411	
52	69400	0.274523	0.00552554	0.0837629	-0.0137411	
53	69200	0.255581	0.00552554	0.0832367	-0.0137411	
54	69000	0.263013	0.00552554	0.0859661	-0.0137411	
55	68800	0.265118	0.00552554	0.0955353	-0.0137411	
56	68600	0.271201	0.00552554	0.0849796	-0.0137411	
57	68400	0.257883	0.00552554	0.0868211	-0.0137411	
58	68200	0.252951	0.00552554	0.0840259	-0.0137411	
59	68000	0.25203	0.00552554	0.0816254	-0.0137411	
60	67800	0.257423	0.00552554	0.0912275	-0.0137411	
61	67600	0.263835	0.00552554	0.0858346	-0.0137411	
62	67400	0.258771	0.00552554	0.0906356	-0.0137411	
63	67200	0.267979	0.00552554	0.0867882	-0.0137411	
64	67000	0.259955	0.00552554	0.0818556	-0.0137411	
65	66800	0.25864	0.00552554	0.0929046	-0.0137411	
66	66600	0.27153	0.00552554	0.0833025	-0.0137411	
67	66400	0.265085	0.00552554	0.101158	-0.0137411	
68	66200	0.262586	0.00552554	0.0986922	-0.0137411	
69	66000	0.291688	0.00552554	0.0921811	-0.0137411	
70	65800	0.277745	0.00552554	0.0952393	-0.0137411	
71	65600	0.257785	0.00552554	0.0934307	-0.0137411	
72	65400	0.267584	0.00552554	0.0807376	-0.0137411	
73	65200	0.250386	0.00552554	0.0904383	-0.0137411	
74	65000	0.269162	0.00552554	0.0878076	-0.0137411	
75	64800	0.26982	0.00552554	0.0875774	-0.0137411	
76	64600	0.260317	0.00552554	0.0902739	-0.0137411	
77	64400	0.265348	0.00552554	0.0926744	-0.0137411	
78	64200	0.255779	0.00552554	0.087972	-0.0137411	
79	64000	0.263901	0.00552554	0.0894518	-0.0137411	
80	63800	0.263868	0.00552554	0.0952722	-0.0137411	
81	63600	0.278797	0.00552554	0.0915892	-0.0137411	
82	63400	0.25762	0.00552554	0.086854	-0.0137411	
83	63200	0.245716	0.00552554	0.0868868	-0.0137411	
84	63000	0.268735	0.00552554	0.0864265	-0.0137411	
85	62800	0.251668	0.00552554	0.0802114	-0.0137411	
86	62600	0.257061	0.00552554	0.0766271	-0.0137411	
87	62400	0.248117	0.00552554	0.0905041	-0.0137411	
88	62200	0.27005	0.00552554	0.0800799	-0.0137411	
89	62000	0.259823	0.00552554	0.0901752	-0.0137411	
90	61800	0.260876	0.00552554	0.0832696	-0.0137411	
91	61600	0.254957	0.00552554	0.0862949	-0.0137411	
92	61400	0.261632	0.00552554	0.0833354	-0.0137411	
93	61200	0.270478	0.00552554	0.0827764	-0.0137411	
94	61000	0.263572	0.00552554	0.0830723	-0.0137411	
95	60800	0.271826	0.00552554	0.0781726	-0.0137411	
96	60600	0.259692	0.00552554	0.0835327	-0.0137411	
97	60400	0.268603	0.00552554	0.0743252	-0.0137411	
98	60200	0.274259	0.00552554	0.0853413	-0.0137411	
99	60000	0.270379	0.00552554	0.0844534	-0.0137411	
100	59800	0.263802	0.00552554	0.0839273	-0.0137411	
101	59600	0.274851	0.00552554	0.090241	-0.0137411	
102	59400	0.259725	0.00552554	0.092214	-0.0137411	
103	59200	0.267847	0.00552554	0.0819214	-0.0137411	
104	59000	0.254924	0.00552554	0.0845192	-0.0137411	
105	58800	0.260777	0.00552554	0.0932005	-0.0137411	
106	58600	0.256173	0.00552554	0.0787645	-0.0137411	
107	58400	0.258607	0.00552554	0.0725495	-0.0137411	
108	58200	0.25055	0.00552554	0.0877418	-0.0137411	
109	58000	0.266861	0.00552554	0.0770217	-0.0137411	
110	57800	0.253411	0.00552554	0.0832038	-0.0137411	
111	57600	0.256436	0.00552554	0.0858674	-0.0137411	
112	57400	0.279357	0.00552554	0.0847165	-0.0137411	
113	57200	0.262849	0.00552554	0.0835656	-0.0137411	
114	57000	0.277581	0.00552554	0.0818885	-0.0137411	
115	56800	0.270905	0.00552554	0.0823817	-0.0137411	
116	56600	0.261994	0.00552554	0.0836971	-0.0137411	
117	56400	0.266104	0.00552554	0.0798497	-0.0137411	
118	56200	0.272648	0.00552554	0.090241	-0.0137411	
119	56000	0.270149	0.00552554	0.0861963	-0.0137411	
120	55800	0.259725	0.00552554	0.0856701	-0.0137411	
